"ID","AUTHOR","FILENAME","DATEEXECUTED","ORDEREXECUTED","EXECTYPE","MD5SUM","DESCRIPTION","COMMENTS","TAG","LIQUIBASE","CONTEXTS","LABELS","DEPLOYMENT_ID"
"create-hibernate-sequence-table","backbase","/Users/andres/Development/golden-example/backbase-golden-example/product/src/main/resources/db/changelog/000-create.yaml","2020-09-04T09:21:23.138","1","EXECUTED","8:38f4611860dc07af539b7ff1d91b8ac6","createTable tableName=hibernate_sequence; insert tableName=hibernate_sequence","","","3.10.2","()","","9204083050"
"create product table","backbase","/Users/andres/Development/golden-example/backbase-golden-example/product/src/main/resources/db/changelog/000-create.yaml","2020-09-04T09:21:23.143","2","EXECUTED","8:86b1e98ab69b2b684dc445b82edb06e2","createTable tableName=product",,"","3.10.2","()","","9204083050"
