"ID","AUTHOR","FILENAME","DATEEXECUTED","ORDEREXECUTED","EXECTYPE","MD5SUM","DESCRIPTION","COMMENTS","TAG","LIQUIBASE","CONTEXTS","LABELS","DEPLOYMENT_ID"
"create-review-table","backbase","/Users/andres/Development/golden-example/backbase-golden-example/review/src/main/resources/db/changelog/000-create.yaml","2020-09-05T12:57:56.865","1","EXECUTED","8:b65a2911bbd383dd675fc716730ff76a","createTable tableName=review","","","3.10.2","()","","9303476839"
"create-review-index","backbase (generated)","/Users/andres/Development/golden-example/backbase-golden-example/review/src/main/resources/db/changelog/000-create.yaml","2020-09-05T12:57:56.868","2","EXECUTED","8:f610f80dc4b9a0c143f6aaeab9fe0ec3","addUniqueConstraint constraintName=review_unique_idx, tableName=review",,"","3.10.2","()","","9303476839"
