"ID","AUTHOR","FILENAME","DATEEXECUTED","ORDEREXECUTED","EXECTYPE","MD5SUM","DESCRIPTION","COMMENTS","TAG","LIQUIBASE","CONTEXTS","LABELS","DEPLOYMENT_ID"
"create-review-table","backbase","/Users/andres/Development/golden-example/backbase-golden-example/services/review/src/main/resources/db/changelog/000-create.yaml","2020-11-24T18:25:40.377","1","EXECUTED","8:28e85b9499ec1bc0dea7ffa3663bc2f9","createTable tableName=review","","","3.10.2","()","","6238740329"
"create-review-index","backbase (generated)","/Users/andres/Development/golden-example/backbase-golden-example/services/review/src/main/resources/db/changelog/000-create.yaml","2020-11-24T18:25:40.38","2","EXECUTED","8:f610f80dc4b9a0c143f6aaeab9fe0ec3","addUniqueConstraint constraintName=review_unique_idx, tableName=review","","","3.10.2","()","","6238740329"
"create_hibernate_sequence","backbase","/Users/andres/Development/golden-example/backbase-golden-example/services/review/src/main/resources/db/changelog/000-create.yaml","2020-11-24T18:25:40.383","3","EXECUTED","8:155bd6925fb1204ede420e47e04d8b45","createSequence sequenceName=hibernate_sequence",,"","3.10.2","()","","6238740329"
