"ID","AUTHOR","FILENAME","DATEEXECUTED","ORDEREXECUTED","EXECTYPE","MD5SUM","DESCRIPTION","COMMENTS","TAG","LIQUIBASE","CONTEXTS","LABELS","DEPLOYMENT_ID"
"create-hibernate-sequence","backbase","/Users/andres/Development/golden-example/backbase-golden-example/product/src/main/resources/db/changelog/000-create.yaml","2020-09-04T09:21:23.263","1","EXECUTED","8:155bd6925fb1204ede420e47e04d8b45","createSequence sequenceName=hibernate_sequence","","","3.10.2","()","","9204083219"
"create product table","backbase","/Users/andres/Development/golden-example/backbase-golden-example/product/src/main/resources/db/changelog/000-create.yaml","2020-09-04T09:21:23.267","2","EXECUTED","8:86b1e98ab69b2b684dc445b82edb06e2","createTable tableName=product",,"","3.10.2","()","","9204083219"
